Cricinfo_id,Player_Name,Player_Name_Telugu,FC Matches_debut,FC Matches_debut_Telugu,List A Matches_debut,List A Matches_debut_Telugu,T20 Matches_debut,T20 Matches_debut_Telugu,T20I Matches_debut,T20I Matches_debut_Telugu,ODI Matches_debut,ODI Matches_debut_Telugu,Test Matches_debut,Test Matches_debut_Telugu,Playing Role,Playing Role_Telugu,Nationality,Nationality_Telugu,Teams,Teams_Telugu,Birth_Date,Telugu_Birth_Date,Education,Telugu_Education,Relations,Telugu_Relations,Death_Date,Telugu_Death_Date,Death_Place,Telugu_Death_Place,Full Name,Full_Name_Telugu,Teams_overview,teams_ov_telugu_y,Died,Died_telugu,Batting Style,Batting_Style_telugu,Bowling Style,Bowling_Style_telugu,Birth_Place,Birth_Place_Telugu,AWARDS,awards_telugu,T20I Matches_debut_infobox,T20I_info_Matches_debut_Telugu,ODI Matches_debut_infobox,ODI_info_Matches_debut_Telugu,Test Matches_debut_infobox,Test_info_Matches_debut_Telugu,Test Matches_last_appearance,Test_info_Matches_last_appearance_telugu,ODI Matches_last_appearance,ODI_info_Matches_last_appearance_telugu,T20I Matches_last_appearance,T20I_info_Matches_last_appearance_telugu,trophy_names,trophy_names_Telugu,Records,records_telugu,Test Records,test_records_telugu,ODI Records,odi_records_telugu,T20I Records,t20i_records_telugu
35656,Srinivas Venkataraghavan,శ్రీనివాస్ వెంకటరాఘవన్,,,,,,,,,"India vs England at Leeds - July 13, 1974","ఇండియా వర్సస్ ఇంగ్లాండ్, లీడ్స్ లో - జూలై 13, 1974","India vs New Zealand at Chennai - February 27 - March 02, 1965","ఇండియా వర్సస్ న్యూ జీలాండ్, చెన్నై లో - ఫిబ్రవరి 27 - మార్చి 02, 1965",,,India,భారతదేశం,"['India', 'Derbyshire', 'Madras']","ఇండియా, డెర్బిషిషిర్, మద్రాస్","['April 21', ' 1945']","['ఏప్రిల్ 21', '1945'] ",,,"[['V Krishnaswamy', ' (cousin)']]","[['వీ కృష్ణస్వామి', ' (కజిన్)']]",,,,,Srinivasaraghavan Venkataraghavan,శ్రీనివాసరాశరాఘవన్ వెంకటరాఘవన్,"['India', 'Derbyshire', 'Madras']","ఇండియా, డెర్బిషిషిర్, మద్రాస్",,,Right hand bat,రైట్ హ్యాండెడ్,Right arm offbreak,రైట్ ఆర్మ్ ఆఫ్‌బ్రెక్,[' Madras (now Chennai)'],[[మద్రాస్ (ఇప్పుడు చెన్నై)]],,,,,"India vs England at Leeds - July 13, 1974","['1974', 'లీడ్స్ - జూలై 13', 'ఇంగ్లాండ్']","India vs New Zealand at Chennai - February 27 - March 02, 1965","['1965', 'చెన్నై - ఫిబ్రవరి 27 - మార్చి 02', 'న్యూజిలాండ్']","Pakistan vs India at Jalandhar - September 24 - 29, 1983","['1983', 'జలంధర్ - సెప్టెంబర్ 24 - 29', 'భారతదేశం']","India vs West Indies at St George's - April 07, 1983","['1983', 'సెయింట్ జార్జ్ - ఏప్రిల్ 07', 'వెస్ట్ ఇండీస్']",,,World Cup,[[ప్రపంచ కప్]],"['10th Most matches as an umpire (73)', '7th Youngest player to take ten-wickets-in-a-match (19y 332d)', ' Dismissing all eleven batters in a match ']","['ఒకే మ్యాచ్ లో మొత్తం పదకొండు బ్యాటర్లను అవుట్ చేసాడు.', 'అత్యధిక మ్యాచ్ లు అంపైరింగ్ చేసిన అంపైర్ల జాబితా లో 10 వ స్థానం (73).', 'ఒక మ్యాచ్ లో పది వికెట్లు సాధించిన అతి పిన్న వయస్కుడైన ఆటగాళ్ల జాబితా లో 7 వ స్థానం (19 సంవత్సరాల 332 రోజులు).']","['30th Youngest player to take five-wickets-in-an-innings (19y 332d)', '7th Youngest player to take ten-wickets-in-a-match (19y 332d)', '15th Most balls bowled in a match (675)', '31st Longest careers (18y 214d)', '10th Most matches as an umpire (73)', '30th Most matches as a match referee (5)']","['సుదీర్ఘ కెరీర్ లు ఉన్న ఆటగాళ్ల జాబితా లో 31 వ స్థానం (18 సంవత్సరాల 214 రోజులు).', 'అత్యధిక మ్యాచ్\u200cలలో మ్యాచ్ రిఫరీగా ఉన్న ఆటగాళ్ల జాబితా లో 30 వ స్థానం (5).', 'అత్యధిక మ్యాచ్ లు అంపైరింగ్ చేసిన అంపైర్ల జాబితా లో 10 వ స్థానం (73).', 'ఒక మ్యాచ్ లో పది వికెట్లు సాధించిన అతి పిన్న వయస్కుడైన ఆటగాళ్ల జాబితా లో 7 వ స్థానం (19 సంవత్సరాల 332 రోజులు).', 'ఒక ఇన్నింగ్స్ లో ఐదు వికెట్లు సాధించిన పిన్న వయసు ఆటగాళ్ల జాబితా లో 30 వ స్థానం (19 సంవత్సరాల 332 రోజులు).', 'ఒకే మ్యాచ్ లో అత్యధిక బంతులు బౌలింగ్ చేసిన ఆటగాళ్ళ జాబితా లో 15 వ స్థానం (675).']",['47th Most matches as an umpire (52)'],['అత్యధిక మ్యాచ్ లు అంపైరింగ్ చేసిన అంపైర్ల జాబితా లో 47 వ స్థానం (52).'],,[]
554178,Varun Sood,వరుణ్ సూద్,"Delhi vs Haryana at Delhi - November 21 - 24, 2013","ఢిల్లీ వర్సస్ హర్యాణ, ఢిల్లీ లో - నవంబర్ 21 - 24, 2013","Delhi vs J + K at Delhi - February 20, 2012","ఢిల్లీ వర్సస్ జే + కే, ఢిల్లీ లో - ఫిబ్రవరి 20, 2012","Punjab vs Delhi at Gurgaon - March 18, 2013","పంజాబ్ వర్సస్ ఢిల్లీ, గుర్గావ్ లో - మార్చి 18, 2013",,,,,,,,,India,భారతదేశం,"['Delhi', 'Sikkim']","ఢిల్లీ, సిక్కిం","['October 12', ' 1990']","['అక్టోబర్ 12', '1990'] ",,,,[],,,,,Varun Sood,వరుణ్ సూద్,"['Delhi', 'Sikkim']","ఢిల్లీ, సిక్కిం",,,Left hand bat,లెఫ్ట్ హ్యాండెడ్,Slow left arm orthodox,స్లో లెఫ్ట్ ఆర్మ్ ఆర్థోడాక్స్,[' Delhi'],[[ఢిల్లీ]],,,,,,,,,,,,,,,,,,[],,[],,[],,[]
290702,Digambar Waghmare,దిగంబర్ వాఘ్మరే,"Andhra vs Maharashtra at Nasik - November 10 - 13, 2008","ఆంధ్ర వర్సస్ మహారాష్ట్ర, నాసిక్ లో - నవంబర్ 10 - 13, 2008","Maharashtra vs Gujarat at Pune - February 27, 2008","మహారాష్ట్ర వర్సస్ గుజరాత్, పూణే లో - ఫిబ్రవరి 27, 2008","Gujarat vs Maharashtra at Mumbai - April 03, 2007","గుజరాత్ వర్సస్ మహారాష్ట్ర, ముంబై లో - ఏప్రిల్ 03, 2007",,,,,,,,,India,భారతదేశం,"['Maharashtra', 'Maharashtra Under-19s']","మహారాష్ట్ర, మహారాష్ట్ర అండర్ -19","['January 05', ' 1984']","['జనవరి 05', '1984'] ",,,,[],,,,,Digambar Kisanrao Waghmare,దిగంబర్ కిసన్రావు వాఘ్మరే,"['Maharashtra', 'Maharashtra Under-19s']","మహారాష్ట్ర, మహారాష్ట్ర అండర్ -19",,,Right hand bat,రైట్ హ్యాండెడ్,Legbreak googly,లెగ్‌బ్రేక్ గూగ్లీ,"[' Manjaram', ' Maharashtra']","[[మంజరం]], [[మహారాష్ట్ర]]",,,,,,,,,,,,,,,,,,[],,[],,[],,[]
1069549,Siddhesh Wath,సిద్ధేష్ వాత్,"Vidarbha vs Delhi at Chennai - November 29 - December 02, 2016","విదర్భ వర్సస్ ఢిల్లీ, చెన్నై లో - నవంబర్ 29 - డిసెంబర్ 02, 2016","Vidarbha vs Assam at Delhi - March 06, 2017","విదర్భ వర్సస్ అస్సాం, ఢిల్లీ లో - మార్చి 06, 2017","Vidarbha vs Chhattisgarh at Jaipur - January 30, 2017","విదర్భ వర్సస్ చట్టిస్జర్, జైపూర్ లో - జనవరి 30, 2017",,,,,,,,,India,భారతదేశం,['Vidarbha'],విదర్భ,"['July 03', ' 1997']","['జూలై 03', '1997'] ",,,,[],,,,,Siddhesh Kishor Wath,సిద్ధేష్ కిషోర్ వాత్,['Vidarbha'],విదర్భ,,,Right hand bat,రైట్ హ్యాండెడ్,,,[' Nagpur'],[[నాగ్పూర్]],,,,,,,,,,,,,,,,,,[],,[],,[],,[]
605360,Akshay Wadkar,అక్షయ్ వాడ్కర్,"Goa vs Vidarbha at Porvorim - November 17 - 20, 2017","గోవా వర్సస్ విదర్భ, పార్వరిం లో - నవంబర్ 17 - 20, 2017","U. Pradesh vs Vidarbha at Indore - February 18, 2013","ఉ. ప్రదేశ్ వర్సస్ విదర్భ, ఇండోర్ లో - ఫిబ్రవరి 18, 2013","U. Pradesh vs Vidarbha at Raipur - January 15, 2018","ఉ. ప్రదేశ్ వర్సస్ విదర్భ, రైపూర్ లో - జనవరి 15, 2018",,,,,,,,,India,భారతదేశం,['Vidarbha'],విదర్భ,"['July 09', ' 1994']","['జూలై 09', '1994'] ",,,,[],,,,,Akshay Vinod Wadkar,అక్షయ్ వినోడ్ వాడ్కర్,['Vidarbha'],విదర్భ,,,Right hand bat,రైట్ హ్యాండెడ్,,,[' Nagpur'],[[నాగ్పూర్]],,,,,,,,,,,,,,,,,,[],,[],,[],,[]
719715,Washington Sundar,వాషింగ్టన్ సుందర్,"Tamil Nadu vs Mumbai at Rohtak - October 06 - 08, 2016","తమిళ్ నాడు వర్సస్ ముంబై, రోహ్తక్టు లో - అక్టోబర్ 06 - 08, 2016","Maharashtra vs Tamil Nadu at Cuttack - March 01, 2017","మహారాష్ట్ర వర్సస్ తమిళ్ నాడు, క్యుట్టాక్ లో - మార్చి 01, 2017","Sunrisers vs Supergiant at Pune - April 22, 2017","సున్రిసర్స్ వర్సస్ సుపర్జియంట్, పూణే లో - ఏప్రిల్ 22, 2017","Sri Lanka vs India at Mumbai - December 24, 2017","శ్రీ లంక వర్సస్ ఇండియా, ముంబై లో - డిసెంబర్ 24, 2017",,,"Australia vs India at Brisbane - January 15 - 19, 2021","ఆస్ట్రేలియా వర్సస్ ఇండియా, బ్రిస్బనే లో - జనవరి 15 - 19, 2021",Bowling allrounder,బౌలింగ్ ఆల్ రౌండర్,India,భారతదేశం,"['India', 'India A', 'India C', 'India Red', 'India Under-19s', ""Indian Board President's XI"", 'Jones TUTI Patriots', 'Madras Rubber Factory', 'Rising Pune Supergiants', 'Royal Challengers Bangalore', 'Tamil Nadu']","ఇండియా, ఇండియా ఏ., ఇండియా సీ., ఇండియా రెడ్, ఇండియా అండర్ -19, ఇండియన్ బోర్డ్ ప్రెసిడెంట్స్ క్సీ, జోన్స్ టి.యూ.టి.ఐ. పాట్రియట్స్, మద్రాస్ రబ్బర్ ఫాక్టరీ, రిసింగ్ పూణే సుపర్జియంట్స్, రోయాల్ చల్లెంజర్స్ బెంగళూరు, తమిళ్ నాడు","['October 05', ' 1999']","['అక్టోబర్ 05', '1999'] ",,,"[['M Shailaja', ' (sister)']]","[['ఎం శైలజ', ' (సోదరి)']]",,,,,Washington Sundar,వాషింగ్టన్ సుందర్,"['India', 'India A', 'India C', 'India Red', 'India Under-19s', ""Indian Board President's XI"", 'Jones TUTI Patriots', 'Madras Rubber Factory', 'Rising Pune Supergiants', 'Royal Challengers Bangalore', 'Tamil Nadu']","ఇండియా, ఇండియా ఏ., ఇండియా సీ., ఇండియా రెడ్, ఇండియా అండర్ -19, ఇండియన్ బోర్డ్ ప్రెసిడెంట్స్ క్సీ",,,Left hand bat,లెఫ్ట్ హ్యాండెడ్,Right arm offbreak,రైట్ ఆర్మ్ ఆఫ్‌బ్రెక్,"[' Chennai', ' Tamil Nadu']","[[చెన్నై]], [[తమిళనాడు]]",,,"Sri Lanka vs India at Mumbai - December 24, 2017","['2017', 'ముంబై - డిసెంబర్ 24', 'భారతదేశం']",,,"Australia vs India at Brisbane - January 15 - 19, 2021","['2021', 'బ్రిస్బేన్ - జనవరి 15 - 19', 'భారతదేశం']","England vs India at Ahmedabad - March 04 - 06, 2021","['2021', 'అహ్మదాబాద్ - మార్చి 04 - 06', 'భారతదేశం']",,,"India vs England at Ahmedabad - March 20, 2021","['2021', 'అహ్మదాబాద్ - మార్చి 20 ', 'ఇంగ్లాండ్ ']","Border-Gavaskar, ICC World Test Champ","బోర్డర్-గవాస్కర్ ట్రోఫీ, ఐసిసి ప్రపంచ టెస్ట్ ఛాంపియన్‌షిప్",['1st Most consecutive ducks (3)'],['వరుసగా అత్యధిక డక్లు సాధించిన ఆటగాళ్ల జాబితా లో 1 వ స్థానం (3).'],,[],,[],"['1st Most consecutive ducks (3)', '17th Bowler/batters combinations (3)', '17th Most wickets taken stumped (5)']","['వరుసగా అత్యధిక డక్లు సాధించిన ఆటగాళ్ల జాబితా లో 1 వ స్థానం (3).', 'బ్యాట్సమన్-బౌలర్ కామ్బినషన్ల జాబితా లో 17 వ స్థానం (3).', 'స్టంప్ చేసి అత్యధిక వికెట్లు సాధించిన ఆటగాళ్ల జాబితా లో 17 వ స్థానం (5).']"
35940,Syed Wazir Ali,సైడ్ వాజిర్ అలీ,,,,,,,,,,,"England vs India at Lord's - June 25 - 28, 1932","ఇంగ్లాండ్ వర్సస్ ఇండియా, లోర్డ్'స్ లో - జూన్ 25 - 28, 1932",,,India,భారతదేశం,"['India', 'Central India', ""Maharaja of Patiala's XI"", 'Muslims', 'Sind', 'Southern Punjab']","ఇండియా, సెంత్రల్ ఇండియా, మహరాజ ఆఫ్ పేషయిల'స్ క్సీ, ముస్లిమ్స్, సిండ్, సౌచర్న్ పంజాబ్","['September 15', ' 1903']","['సెప్టెంబర్ 15', '1903'] ",,,"[['S Nazir Ali', ' (brother),'], ['Khalid Wazir', ' (son)']]","[['ఎస్ నాజీర్ అలీ', ' (సోదరుడు),'], ['ఖాళీద్ వాజిర్', ' (కుమారుడు)']]","['June 17', ' 1950']","['జూన్ 17', '1950'] ","[' Karachi', ' Sind', ' Pakistan', ' (aged 46y 275d)']","['కరాచీ', 'సింధ్', 'పాకిస్తాన్', '(వయస్సు 46సంవత్సరాల 275రోజులు)'] ",Syed Wazir Ali,సైడ్ వాజిర్ అలీ,"['India', 'Central India', ""Maharaja of Patiala's XI"", 'Muslims', 'Sind', 'Southern Punjab']","ఇండియా, సెంత్రల్ ఇండియా, మహరాజ ఆఫ్ పేషయిల'స్ క్సీ, ముస్లిమ్స్, సిండ్, సౌచర్న్ పంజాబ్","June 17, 1950, Karachi, Sind, Pakistan, (aged 46y 275d)","జూన్ 17, 1950, కరాచీ, సిండ్, పాకిస్తాన్(వయస్సు : 46 సంవత్సరాల 275 రోజులు)",Right hand bat,రైట్ హ్యాండెడ్,Right arm medium,రైట్ ఆర్మ్ మీడియం,"[' Jullundur (now Jalandhar)', ' Punjab']","[[జాలందూర్ (ఇప్పుడు జలంధర్)]], [[పంజాబ్]]",,,,,,,"England vs India at Lord's - June 25 - 28, 1932","['1932', 'లార్డ్స్ - జూన్ 25 - 28', 'భారతదేశం']","England vs India at The Oval - August 15 - 18, 1936","['1936', 'ఓవల్ - ఆగస్టు 15 - 18', 'భారతదేశం']",,,,,,,,[],,[],,[],,[]
35933,Ajit Wadekar,అజిత్ వాడేకర్,,,,,,,,,"India vs England at Leeds - July 13, 1974","ఇండియా వర్సస్ ఇంగ్లాండ్, లీడ్స్ లో - జూలై 13, 1974","India vs West Indies at Mumbai (BS) - December 13 - 18, 1966","ఇండియా వర్సస్ వెస్ట్ ఇండీస్, ముంబై (బస్) లో - డిసెంబర్ 13 - 18, 1966",,,India,భారతదేశం,"['India', 'Mumbai']","ఇండియా, ముంబై","['April 01', ' 1941']","['ఏప్రిల్ 01', '1941'] ",,,,[],"['August 15', ' 2018']","['ఆగష్టు 15', '2018'] ","[' Mumbai', ' Maharashtra', ' (aged 77y 136d)']","['ముంబై', 'మహారాష్ట్ర', '(77సంవత్సరాల 136రోజులు)'] ",Ajit Laxman Wadekar,అజిత్ లక్ష్మణ్ వాడేకర్,"['India', 'Mumbai']","ఇండియా, ముంబై","August 15, 2018, Mumbai, Maharashtra, (aged 77y 136d)","ఆగస్టు 15, 2018, ముంబై, మహారాష్ట్ర(వయస్సు : 77 సంవత్సరాల 136 రోజులు)",Left hand bat,లెఫ్ట్ హ్యాండెడ్,"Left arm medium, Slow left arm orthodox","లెఫ్ట్ ఆర్మ్ మీడియం, స్లో లెఫ్ట్ ఆర్మ్ ఆర్థోడాక్స్","[' Bombay (now Mumbai)', ' Maharashtra']","[[బాంబే (ఇప్పుడు ముంబై)]], [[మహారాష్ట్ర]]",,,,,"India vs England at Leeds - July 13, 1974","['1974', 'లీడ్స్ - జూలై 13', 'ఇంగ్లాండ్']","India vs West Indies at Mumbai (BS) - December 13 - 18, 1966","['1966', 'ముంబై (బిఎస్) - డిసెంబర్ 13 - 18', 'వెస్ట్ ఇండీస్']","India vs England at Birmingham - July 04 - 08, 1974","['1974', 'బర్మింగ్హామ్ - జూలై 04 - 08', 'ఇంగ్లాండ్']","India vs England at The Oval - July 15 - 16, 1974","['1974', 'ఓవల్ - జూలై 15 - 16', 'ఇంగ్లాండ్']",,,,,"['1st Dismissed for 99 (and 199, 299 etc) (99)', '8th Longest lived players (77y 136d)']","['అత్యధిక కాలం జీవించిన ఆటగాళ్ల జాబితా లో 8 వ స్థానం (77 సంవత్సరాల 136 రోజులు).', '99 (మరియు 199, 299 మొదలైనవి) కి అవుట్ అయిన ఆటగాళ్ల జాబితా లో 1 వ స్థానం (99).']","['1st Dismissed for 99 (and 199, 299 etc) (99)', '42nd Most catches in a series (10)']","['సిరీస్\u200cలో అత్యధిక క్యాచ్లు సాధించిన ఆటగాళ్ల జాబితా లో 42 వ స్థానం (10).', '99 (మరియు 199, 299 మొదలైనవి) కి అవుట్ అయిన ఆటగాళ్ల జాబితా లో 1 వ స్థానం (99).']",['8th Longest lived players (77y 136d)'],['అత్యధిక కాలం జీవించిన ఆటగాళ్ల జాబితా లో 8 వ స్థానం (77 సంవత్సరాల 136 రోజులు).'],,[]
493811,Aditya Waghmode,ఆదిత్య వాఘ్మోడ్,"Karnataka vs Baroda at Vadodara - January 03 - 04, 2011","కర్ణాటక వర్సస్ బారోడ, వాడోదర లో - జనవరి 03 - 04, 2011","Baroda vs Mumbai at Vadodara - February 10, 2011","బారోడ వర్సస్ ముంబై, వాడోదర లో - ఫిబ్రవరి 10, 2011","Baroda vs Mumbai at Rajkot - October 20, 2011","బారోడ వర్సస్ ముంబై, రాజకోట్ లో - అక్టోబర్ 20, 2011",,,,,,,,,India,భారతదేశం,['Baroda'],బారోడ,"['November 08', ' 1989']","['నవంబర్ 08', '1989'] ",,,,[],,,,,Aditya Arvind Waghmode,ఆదిత్య ఆర్విండ్ వాఘ్మోడ్,['Baroda'],బారోడ,,,Left hand bat,లెఫ్ట్ హ్యాండెడ్,Right arm offbreak,రైట్ ఆర్మ్ ఆఫ్‌బ్రెక్,[' Vadodara'],[[వడోదర]],,,,,,,,,,,,,,,,,,[],,[],,[],,[]
554692,Saurabh Wakaskar,సారభ్ వాకాస్కర్,"Baroda vs Delhi at Delhi - November 17 - 20, 2012","బారోడ వర్సస్ ఢిల్లీ, ఢిల్లీ లో - నవంబర్ 17 - 20, 2012","Maharashtra vs Baroda at Mumbai - February 28, 2012","మహారాష్ట్ర వర్సస్ బారోడ, ముంబై లో - ఫిబ్రవరి 28, 2012","Baroda vs U. Pradesh at Indore - March 29, 2013","బారోడ వర్సస్ ఉ. ప్రదేశ్, ఇండోర్ లో - మార్చి 29, 2013",,,,,,,,,India,భారతదేశం,['Baroda'],బారోడ,"['September 08', ' 1991']","['సెప్టెంబర్ 08', '1991'] ",,,,[],,,,,Saurabh Pradeep Wakaskar,సారభ్ ప్రదీప్ వాకాస్కర్,['Baroda'],బారోడ,,,Left hand bat,లెఫ్ట్ హ్యాండెడ్,Legbreak googly,లెగ్‌బ్రేక్ గూగ్లీ,"[' Baroda (now Vadodara)', ' Gujarat']","[[బరోడా (ఇప్పుడు వడోదర)]], [[గుజరాత్]]",,,,,,,,,,,,,,,,,,[],,[],,[],,[]
